id,address_x,city,state_x,postcode,address_y,result,match_type,address_match,tiger,side,state_y,county,tract,block,lat,long
9000,8510 E 4TH AVE,Anchorage,AK,99504,"8510 E 4TH AVE, Anchorage, AK, 99504",Match,Exact,"8510 E 4TH AVE, ANCHORAGE, AK, 99504",190803337,L,02,020,000703,3000,-149.72173,61.21925
9001,381 FERN LN,Anchorage,AK,99504,"381 FERN LN, Anchorage, AK, 99504",Match,Exact,"381 FERN LN, ANCHORAGE, AK, 99504",190802804,L,02,020,000702,3009,-149.75385,61.219063
9002,340 BEULAH CIR,Anchorage,AK,99504,"340 BEULAH CIR, Anchorage, AK, 99504",Match,Exact,"340 BEULAH CIR, ANCHORAGE, AK, 99504",190808931,L,02,020,000702,2002,-149.7401,61.218993999999995
9003,340 BEULAH CIR,Anchorage,AK,99504,"340 BEULAH CIR, Anchorage, AK, 99504",Match,Exact,"340 BEULAH CIR, ANCHORAGE, AK, 99504",190808931,L,02,020,000702,2002,-149.7401,61.218993999999995
9004,341 BEULAH CIR,Anchorage,AK,99504,"341 BEULAH CIR, Anchorage, AK, 99504",Match,Exact,"341 BEULAH CIR, ANCHORAGE, AK, 99504",190808931,R,02,020,000702,2002,-149.74007,61.218993999999995
9005,341 BEULAH CIR,Anchorage,AK,99504,"341 BEULAH CIR, Anchorage, AK, 99504",Match,Exact,"341 BEULAH CIR, ANCHORAGE, AK, 99504",190808931,R,02,020,000702,2002,-149.74007,61.218993999999995
9006,341 BEULAH CIR,Anchorage,AK,99504,"341 BEULAH CIR, Anchorage, AK, 99504",Match,Exact,"341 BEULAH CIR, ANCHORAGE, AK, 99504",190808931,R,02,020,000702,2002,-149.74007,61.218993999999995
9007,343 KRANE DR,Anchorage,AK,99504,"343 KRANE DR, Anchorage, AK, 99504",Match,Exact,"343 KRANE DR, ANCHORAGE, AK, 99504",605167555,R,02,020,000701,2000,-149.75708,61.219882999999996
9008,401 BUNNELL ST,Anchorage,AK,99508,"401 BUNNELL ST, Anchorage, AK, 99508",Match,Exact,"401 BUNNELL ST, ANCHORAGE, AK, 99508",190801746,L,02,020,000801,4001,-149.78968999999998,61.219166
9009,5901 E 6TH AVE,Anchorage,AK,99504,"5901 E 6TH AVE, Anchorage, AK, 99504",Match,Exact,"5901 E 6TH AVE, ANCHORAGE, AK, 99504",190810852,L,02,020,000701,1000,-149.77061,61.216933999999995
9010,5901 E 6TH AVE,Anchorage,AK,99504,"5901 E 6TH AVE, Anchorage, AK, 99504",Match,Exact,"5901 E 6TH AVE, ANCHORAGE, AK, 99504",190810852,L,02,020,000701,1000,-149.77061,61.216933999999995
9011,5901 E 6TH AVE,Anchorage,AK,99504,"5901 E 6TH AVE, Anchorage, AK, 99504",Match,Exact,"5901 E 6TH AVE, ANCHORAGE, AK, 99504",190810852,L,02,020,000701,1000,-149.77061,61.216933999999995
9012,5901 E 6TH AVE,Anchorage,AK,99504,"5901 E 6TH AVE, Anchorage, AK, 99504",Match,Exact,"5901 E 6TH AVE, ANCHORAGE, AK, 99504",190810852,L,02,020,000701,1000,-149.77061,61.216933999999995
9013,349 KRANE DR,Anchorage,AK,99504,"349 KRANE DR, Anchorage, AK, 99504",Match,Exact,"349 KRANE DR, ANCHORAGE, AK, 99504",605167555,R,02,020,000701,2000,-149.75708,61.219806999999996
9014,345 KRANE DR,Anchorage,AK,99504,"345 KRANE DR, Anchorage, AK, 99504",Match,Exact,"345 KRANE DR, ANCHORAGE, AK, 99504",605167555,R,02,020,000701,2000,-149.75708,61.21986
9015,5901 E 6TH AVE,Anchorage,AK,99504,"5901 E 6TH AVE, Anchorage, AK, 99504",Match,Exact,"5901 E 6TH AVE, ANCHORAGE, AK, 99504",190810852,L,02,020,000701,1000,-149.77061,61.216933999999995
9016,435 STANDISH ST,Anchorage,AK,99504,"435 STANDISH ST, Anchorage, AK, 99504",Match,Exact,"435 STANDISH ST, ANCHORAGE, AK, 99504",190803259,L,02,020,000703,3013,-149.72523,61.21839
9017,411 FALKE CT,Anchorage,AK,99504,"411 FALKE CT, Anchorage, AK, 99504",Match,Exact,"411 FALKE CT, ANCHORAGE, AK, 99504",190802766,L,02,020,000701,2000,-149.75822,61.218143000000005
9018,411 FALKE CT,Anchorage,AK,99504,"411 FALKE CT, Anchorage, AK, 99504",Match,Exact,"411 FALKE CT, ANCHORAGE, AK, 99504",190802766,L,02,020,000701,2000,-149.75822,61.218143000000005
