id,address_x,city,state_x,postcode,address_y,result,match_type,address_match,tiger,side,state_y,county,tract,block,lat,long
2000,15336 DARBY RD,Anchorage,AK,99577,"15336 DARBY RD, Anchorage, AK, 99577",No_Match,,,,,,,,,,
2001,15321 HUSKY ST,Anchorage,AK,99577,"15321 HUSKY ST, Anchorage, AK, 99577",Match,Non_Exact,"15321 HUSKY ST, EAGLE RIVER, AK, 99577",190792218,R,02,020,000102,1020,-149.55016,61.358695999999995
2002,15324 HUSKY ST,Anchorage,AK,99577,"15324 HUSKY ST, Anchorage, AK, 99577",Match,Non_Exact,"15324 HUSKY ST, EAGLE RIVER, AK, 99577",190792218,L,02,020,000102,1016,-149.55017,61.358727
2003,15314 DARBY RD,Anchorage,AK,99577,"15314 DARBY RD, Anchorage, AK, 99577",No_Match,,,,,,,,,,
2004,13052 CHARLIE CIR,Anchorage,AK,99577,"13052 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13052 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,L,02,020,000201,1017,-149.56662,61.338474
2005,13051 CHARLIE CIR,Anchorage,AK,99577,"13051 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13051 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,R,02,020,000201,1017,-149.56659,61.338467
2006,13050 RIDD CIR,Anchorage,AK,99577,"13050 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13050 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,L,02,020,000201,1017,-149.56804,61.338469999999994
2007,13049 RIDD CIR,Anchorage,AK,99577,"13049 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13049 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,R,02,020,000201,1017,-149.56802,61.338463
2008,13050 CHARLIE CIR,Anchorage,AK,99577,"13050 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13050 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,L,02,020,000201,1017,-149.56662,61.338467
2009,13047 RIDD CIR,Anchorage,AK,99577,"13047 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13047 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,R,02,020,000201,1017,-149.56802,61.33846
2010,17470 RACHEL AVE,Anchorage,AK,99577,"17470 RACHEL AVE, Anchorage, AK, 99577",Match,Non_Exact,"17470 RACHEL AVE, EAGLE RIVER, AK, 99577",190826642,R,02,020,000202,2010,-149.55623,61.33891
2011,13049 CHARLIE CIR,Anchorage,AK,99577,"13049 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13049 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,R,02,020,000201,1017,-149.56659,61.338463
2012,13048 RIDD CIR,Anchorage,AK,99577,"13048 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13048 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,L,02,020,000201,1017,-149.56804,61.338463
2013,17910 CHABLIS CIR,Anchorage,AK,99577,"17910 CHABLIS CIR, Anchorage, AK, 99577",Match,Non_Exact,"17910 CHABLIS CIR, EAGLE RIVER, AK, 99577",190814173,R,02,020,000202,2001,-149.54805,61.33896
2014,17920 CHABLIS CIR,Anchorage,AK,99577,"17920 CHABLIS CIR, Anchorage, AK, 99577",Match,Non_Exact,"17920 CHABLIS CIR, EAGLE RIVER, AK, 99577",190814173,R,02,020,000202,2001,-149.548,61.33894
2015,13046 CHARLIE CIR,Anchorage,AK,99577,"13046 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13046 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,L,02,020,000201,1017,-149.56662,61.338455
2016,13045 RIDD CIR,Anchorage,AK,99577,"13045 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13045 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,R,02,020,000201,1017,-149.56802,61.33845
2017,13047 CHARLIE CIR,Anchorage,AK,99577,"13047 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13047 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,R,02,020,000201,1017,-149.56659,61.338455
2018,13046 RIDD CIR,Anchorage,AK,99577,"13046 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13046 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,L,02,020,000201,1017,-149.56804,61.33846
2019,13040 CHARLIE CIR,Anchorage,AK,99577,"13040 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13040 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,L,02,020,000201,1017,-149.56662,61.338440000000006
2020,13041 RIDD CIR,Anchorage,AK,99577,"13041 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13041 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,R,02,020,000201,1017,-149.56802,61.338440000000006
2021,13042 RIDD CIR,Anchorage,AK,99577,"13042 RIDD CIR, Anchorage, AK, 99577",Match,Non_Exact,"13042 RIDD CIR, EAGLE RIVER, AK, 99577",190793744,L,02,020,000201,1017,-149.56804,61.338448
2022,13037 CHARLIE CIR,Anchorage,AK,99577,"13037 CHARLIE CIR, Anchorage, AK, 99577",Match,Non_Exact,"13037 CHARLIE CIR, EAGLE RIVER, AK, 99577",190793637,R,02,020,000201,1017,-149.56659,61.338425
2023,19101 TIMBERLINE DR,Anchorage,AK,99577,"19101 TIMBERLINE DR, Anchorage, AK, 99577",Match,Non_Exact,"19101 TIMBERLINE DR, EAGLE RIVER, AK, 99577",190792773,R,02,020,000202,2001,-149.52211,61.331802
2024,19412 TIMBERLINE DR,Anchorage,AK,99577,"19412 TIMBERLINE DR, Anchorage, AK, 99577",Match,Non_Exact,"19412 TIMBERLINE DR, EAGLE RIVER, AK, 99577",190792773,L,02,020,000202,2001,-149.52145,61.331832999999996
2025,12239 LUGENE LN,Anchorage,AK,99577,"12239 LUGENE LN, Anchorage, AK, 99577",Match,Non_Exact,"12239 LUGENE LN, EAGLE RIVER, AK, 99577",190792615,R,02,020,000202,2001,-149.54842,61.33175
2026,12302 W SKYLINE DR,Anchorage,AK,99577,"12302 W SKYLINE DR, Anchorage, AK, 99577",Match,Non_Exact,"12302 W SKYLINE DR, EAGLE RIVER, AK, 99577",190792671,L,02,020,000202,2001,-149.54054,61.331703000000005
2027,12301 MOUNTAIN ASH DR,Anchorage,AK,99577,"12301 MOUNTAIN ASH DR, Anchorage, AK, 99577",Match,Non_Exact,"12301 MOUNTAIN ASH DR, EAGLE RIVER, AK, 99577",190792687,R,02,020,000202,2001,-149.5336,61.331340000000004
