id,address_x,city,state_x,postcode,address_y,result,match_type,address_match,tiger,side,state_y,county,tract,block,lat,long
1000,19839 TULWAR DR,Anchorage,AK,99567,"19839 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"19839 TULWAR DR, CHUGIAK, AK, 99567",190807474,L,02,020,000101,2050,-149.42969,61.402184
1001,20124 SOLLERET DR,Anchorage,AK,99567,"20124 SOLLERET DR, Anchorage, AK, 99567",Match,Non_Exact,"20124 SOLLERET DR, CHUGIAK, AK, 99567",190807465,L,02,020,000101,2050,-149.42337,61.40127
1002,20130 UPPER BOWERY LN,Anchorage,AK,99567,"20130 UPPER BOWERY LN, Anchorage, AK, 99567",Match,Non_Exact,"20130 UPPER BOWERY LN, CHUGIAK, AK, 99567",190793060,R,02,020,000102,2008,-149.48036000000002,61.404877
1003,20136 CRABTREE ST,Anchorage,AK,99567,"20136 CRABTREE ST, Anchorage, AK, 99567",Match,Non_Exact,"20136 CRABTREE ST, CHUGIAK, AK, 99567",190810508,R,02,020,000102,2015,-149.4916,61.402077
1004,23425 BIG SKY DR,Anchorage,AK,99567,"23425 BIG SKY DR, Anchorage, AK, 99567",Match,Non_Exact,"23425 BIG SKY DR, CHUGIAK, AK, 99567",190793229,R,02,020,000101,2073,-149.44541999999998,61.401869999999995
1005,23377 BIG SKY DR,Anchorage,AK,99567,"23377 BIG SKY DR, Anchorage, AK, 99567",Match,Non_Exact,"23377 BIG SKY DR, CHUGIAK, AK, 99567",190793229,R,02,020,000101,2073,-149.446,61.401993000000004
1006,20119 WHITE BIRCH RD,Anchorage,AK,99567,"20119 WHITE BIRCH RD, Anchorage, AK, 99567",Match,Non_Exact,"20119 WHITE BIRCH RD, CHUGIAK, AK, 99567",614867278,L,02,020,000102,2008,-149.47752,61.402935
1007,20116 STEFFES ST,Anchorage,AK,99567,"20116 STEFFES ST, Anchorage, AK, 99567",Match,Non_Exact,"20116 STEFFES ST, CHUGIAK, AK, 99567",190823237,R,02,020,000102,2008,-149.47281999999998,61.406980000000004
1008,19842 TULWAR DR,Anchorage,AK,99567,"19842 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"19842 TULWAR DR, CHUGIAK, AK, 99567",190807474,R,02,020,000101,2057,-149.43137,61.40114200000001
1009,20273 TULWAR DR,Anchorage,AK,99567,"20273 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"20273 TULWAR DR, CHUGIAK, AK, 99567",190793395,L,02,020,000101,2050,-149.42609,61.402237
1010,20106 SOLLERET DR,Anchorage,AK,99567,"20106 SOLLERET DR, Anchorage, AK, 99567",Match,Non_Exact,"20106 SOLLERET DR, CHUGIAK, AK, 99567",190807465,L,02,020,000101,2050,-149.42358000000002,61.401154000000005
1011,19855 TULWAR DR,Anchorage,AK,99567,"19855 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"19855 TULWAR DR, CHUGIAK, AK, 99567",190807474,L,02,020,000101,2050,-149.43015,61.401996999999994
1012,20110 PILOTS RD,Anchorage,AK,99567,"20110 PILOTS RD, Anchorage, AK, 99567",Match,Non_Exact,"20110 PILOTS RD, CHUGIAK, AK, 99567",190819919,L,02,020,000102,2009,-149.47058,61.401557999999994
1013,20036 CHUGACH PARK DR,Anchorage,AK,99567,"20036 CHUGACH PARK DR, Anchorage, AK, 99567",Match,Non_Exact,"20036 CHUGACH PARK DR, CHUGIAK, AK, 99567",190793292,R,02,020,000101,2072,-149.43477,61.401123
1014,20048 SEIKA DR,Anchorage,AK,99567,"20048 SEIKA DR, Anchorage, AK, 99567",Match,Non_Exact,"20048 SEIKA DR, CHUGIAK, AK, 99567",641297544,R,02,020,000101,2050,-149.42471,61.40144300000001
1015,20236 TULWAR DR,Anchorage,AK,99567,"20236 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"20236 TULWAR DR, CHUGIAK, AK, 99567",190793395,R,02,020,000101,2057,-149.4277,61.401276
1016,20044 SOLLERET DR,Anchorage,AK,99567,"20044 SOLLERET DR, Anchorage, AK, 99567",Match,Non_Exact,"20044 SOLLERET DR, CHUGIAK, AK, 99567",190807465,L,02,020,000101,2050,-149.42436,61.40074499999999
1017,19866 TULWAR DR,Anchorage,AK,99567,"19866 TULWAR DR, Anchorage, AK, 99567",Match,Non_Exact,"19866 TULWAR DR, CHUGIAK, AK, 99567",190807474,R,02,020,000101,2057,-149.4319,61.400859999999994
1018,20037 SCENIC DR,Anchorage,AK,99567,"20037 SCENIC DR, Anchorage, AK, 99567",Match,Non_Exact,"20037 SCENIC DR, CHUGIAK, AK, 99567",190810509,L,02,020,000102,2014,-149.4878,61.40178
1019,20024 WHITE BIRCH RD,Anchorage,AK,99567,"20024 WHITE BIRCH RD, Anchorage, AK, 99567",Match,Non_Exact,"20024 WHITE BIRCH RD, CHUGIAK, AK, 99567",614867278,R,02,020,000102,2008,-149.47755,61.40294
1020,20032 SCENIC DR,Anchorage,AK,99567,"20032 SCENIC DR, Anchorage, AK, 99567",Match,Non_Exact,"20032 SCENIC DR, CHUGIAK, AK, 99567",190810509,R,02,020,000102,2014,-149.48782,61.401737
1021,20037 CRABTREE ST,Anchorage,AK,99567,"20037 CRABTREE ST, Anchorage, AK, 99567",Match,Non_Exact,"20037 CRABTREE ST, CHUGIAK, AK, 99567",190810508,L,02,020,000102,2014,-149.49161,61.401309999999995
1022,20030 SUNSET BLVD,Anchorage,AK,99567,"20030 SUNSET BLVD, Anchorage, AK, 99567",No_Match,,,,,,,,,,
1023,20038 UPPER BOWERY LN,Anchorage,AK,99567,"20038 UPPER BOWERY LN, Anchorage, AK, 99567",Match,Non_Exact,"20038 UPPER BOWERY LN, CHUGIAK, AK, 99567",190793060,R,02,020,000102,2008,-149.48036000000002,61.404522
1024,20030 CRABTREE ST,Anchorage,AK,99567,"20030 CRABTREE ST, Anchorage, AK, 99567",Match,Non_Exact,"20030 CRABTREE ST, CHUGIAK, AK, 99567",190810508,R,02,020,000102,2015,-149.49161999999998,61.401264000000005
1025,20066 QUICK WAY,Anchorage,AK,99567,"20066 QUICK WAY, Anchorage, AK, 99567",Match,Non_Exact,"20066 QUICK WAY, CHUGIAK, AK, 99567",190793230,R,02,020,000101,2074,-149.44255,61.401268
1026,20025 OLD CRANBERRY DR,Anchorage,AK,99567,"20025 OLD CRANBERRY DR, Anchorage, AK, 99567",Match,Non_Exact,"20025 OLD CRANBERRY DR, CHUGIAK, AK, 99567",190793001,L,02,020,000102,2015,-149.49539,61.401219999999995
1027,20016 SEIKA DR,Anchorage,AK,99567,"20016 SEIKA DR, Anchorage, AK, 99567",Match,Non_Exact,"20016 SEIKA DR, CHUGIAK, AK, 99567",641297544,R,02,020,000101,2050,-149.42503,61.401095999999995
1028,20008 SOLLERET DR,Anchorage,AK,99567,"20008 SOLLERET DR, Anchorage, AK, 99567",Match,Non_Exact,"20008 SOLLERET DR, CHUGIAK, AK, 99567",190807465,L,02,020,000101,2050,-149.42496,61.400642000000005
1029,20012 CHUGACH PARK DR,Anchorage,AK,99567,"20012 CHUGACH PARK DR, Anchorage, AK, 99567",Match,Non_Exact,"20012 CHUGACH PARK DR, CHUGIAK, AK, 99567",190793292,R,02,020,000101,2072,-149.43517,61.40099
